epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,933.561,0.53871,1.29708,0.89347,0.98969,0.83458,0.98669,0.89472,0.45558,1.87648,0.81566,0.000657658,0.000657658,0.000657658
2,1864.98,0.54487,0.80715,0.89534,0.99954,1,0.995,0.88972,0.49076,0.85072,0.83942,0.00131121,0.00131121,0.00131121
3,2752.02,0.53642,0.64694,0.89597,0.99563,0.99031,0.99408,0.88328,0.49651,0.60813,0.83176,0.00195157,0.00195157,0.00195157
4,3570.39,0.54807,0.54693,0.90798,0.99069,1,0.99429,0.89048,0.49104,0.53937,0.84708,0.0019406,0.0019406,0.0019406
5,4399.09,0.52255,0.47511,0.88677,0.97867,0.99739,0.9931,0.89369,0.47643,0.47359,0.83308,0.0019208,0.0019208,0.0019208
6,5237.21,0.52423,0.44854,0.89046,0.9745,0.99685,0.98679,0.89363,0.45155,0.48148,0.82029,0.001901,0.001901,0.001901
7,6104.19,0.49554,0.39551,0.88845,0.995,1,0.995,0.91902,0.40667,0.33622,0.8158,0.0018812,0.0018812,0.0018812
8,6969.71,0.48267,0.37557,0.88987,0.99603,1,0.995,0.91774,0.42219,0.32905,0.81879,0.0018614,0.0018614,0.0018614
9,7866.2,0.47899,0.36637,0.88307,1,0.99954,0.995,0.91796,0.41235,0.31749,0.82507,0.0018416,0.0018416,0.0018416
10,8724.98,0.48423,0.3595,0.88983,0.99918,1,0.995,0.91468,0.41328,0.34535,0.82528,0.0018218,0.0018218,0.0018218
11,9573.21,0.47083,0.35575,0.87954,0.99549,1,0.995,0.92571,0.41287,0.32426,0.83007,0.001802,0.001802,0.001802
12,10402.9,0.47784,0.35314,0.8899,0.99969,1,0.995,0.92213,0.39695,0.28602,0.81953,0.0017822,0.0017822,0.0017822
13,11242.8,0.45713,0.33859,0.87452,0.99944,1,0.995,0.93049,0.39426,0.29588,0.81199,0.0017624,0.0017624,0.0017624
14,12075.8,0.46463,0.32572,0.88254,0.99555,1,0.995,0.93474,0.38882,0.2699,0.81175,0.0017426,0.0017426,0.0017426
15,12911.1,0.45877,0.32987,0.87989,0.99959,1,0.995,0.93188,0.38836,0.2694,0.80925,0.0017228,0.0017228,0.0017228
16,13737.4,0.44125,0.3189,0.86909,0.99961,1,0.995,0.93739,0.36997,0.25725,0.80239,0.001703,0.001703,0.001703
17,14542.1,0.45708,0.31622,0.87497,0.99958,1,0.995,0.93478,0.36867,0.25112,0.81407,0.0016832,0.0016832,0.0016832
