                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                0.96375,                  3.335,                 1.6536,                0.52133,                0.56451,                0.46551,                0.34687,                 0.8748,                 3.3506,                 1.8351,             0.00020646,             0.00020646,             0.00020646
                      2,                0.78415,                 2.2379,                 1.4523,                 0.6058,                0.56317,                0.54962,                0.41471,                0.81356,                 2.3971,                 1.7983,             0.00041274,             0.00041274,             0.00041274
                      3,                0.75831,                  1.951,                 1.4162,                0.52074,                0.60377,                0.60231,                0.37785,                 1.1077,                 2.3106,                 1.9657,             0.00061695,             0.00061695,             0.00061695
                      4,                0.71785,                 1.7073,                 1.3818,                0.69629,                0.57729,                0.65369,                0.49881,                0.95995,                 2.1613,                 1.7948,             0.00061572,             0.00061572,             0.00061572
                      5,                0.68856,                 1.5685,                 1.3511,                0.65365,                0.54784,                0.65342,                0.56071,                0.69055,                 1.9217,                 1.5048,             0.00061572,             0.00061572,             0.00061572
                      6,                0.67278,                 1.4666,                 1.3272,                 0.8035,                0.60991,                0.73732,                0.62463,                0.82938,                 1.7232,                 1.6755,             0.00061262,             0.00061262,             0.00061262
                      7,                0.63534,                 1.3118,                  1.298,                 0.8531,                0.68759,                0.76697,                0.65117,                0.72936,                 1.4263,                 1.5355,             0.00060953,             0.00060953,             0.00060953
                      8,                0.64394,                 1.2058,                 1.2998,                0.75315,                0.59109,                0.73022,                 0.6113,                0.66038,                 1.5129,                 1.4868,             0.00060644,             0.00060644,             0.00060644
                      9,                0.63438,                 1.1324,                 1.2867,                0.76832,                0.68758,                0.78702,                0.66488,                0.66157,                 1.1445,                 1.4481,             0.00060334,             0.00060334,             0.00060334
                     10,                0.60778,                 1.0668,                 1.2678,                0.84707,                0.70372,                 0.8105,                0.69746,                0.62912,                 0.9426,                 1.4109,             0.00060025,             0.00060025,             0.00060025
                     11,                0.59606,                0.99824,                 1.2589,                0.52581,                0.66544,                0.66313,                0.56047,                 0.7282,                 1.3528,                 1.5491,             0.00059716,             0.00059716,             0.00059716
                     12,                0.58798,                0.96537,                 1.2546,                0.88463,                0.71035,                0.85542,                 0.7327,                0.64894,                 0.9047,                 1.3312,             0.00059406,             0.00059406,             0.00059406
                     13,                0.60326,                0.96334,                 1.2679,                0.86649,                0.74836,                0.86929,                0.75041,                0.60034,                0.77327,                  1.328,             0.00059097,             0.00059097,             0.00059097
                     14,                0.58129,                0.89485,                 1.2344,                0.71271,                0.78401,                0.81154,                0.70443,                0.63662,                0.84462,                 1.3741,             0.00058787,             0.00058787,             0.00058787
                     15,                0.56722,                0.87612,                 1.2331,                0.87069,                0.79232,                0.87971,                0.77523,                0.57659,                0.74685,                  1.253,             0.00058478,             0.00058478,             0.00058478
                     16,                0.56575,                0.83306,                 1.2154,                0.76924,                0.81078,                0.84703,                0.74188,                0.59524,                0.75492,                 1.3198,             0.00058169,             0.00058169,             0.00058169
                     17,                0.56127,                0.81791,                 1.2361,                0.80518,                0.81272,                0.85224,                0.74442,                0.64423,                0.80745,                 1.3391,             0.00057859,             0.00057859,             0.00057859
                     18,                0.56345,                0.78752,                 1.2224,                 0.8717,                0.79584,                0.88836,                0.78151,                0.54467,                0.77262,                 1.2176,              0.0005755,              0.0005755,              0.0005755
                     19,                 0.5637,                 0.7647,                 1.2205,                 0.8114,                0.82723,                0.86016,                0.73189,                0.62804,                0.77121,                  1.301,             0.00057241,             0.00057241,             0.00057241
                     20,                0.56016,                0.76505,                 1.2193,                0.86348,                0.77479,                0.87921,                 0.7656,                0.54585,                0.68292,                 1.2243,             0.00056931,             0.00056931,             0.00056931
                     21,                0.54361,                0.72974,                 1.1926,                0.93714,                 0.8144,                 0.9145,                0.77835,                0.60602,                0.62492,                 1.2891,             0.00056622,             0.00056622,             0.00056622
                     22,                0.52674,                0.69599,                 1.1891,                0.79946,                0.81834,                0.87461,                 0.7861,                0.54021,                 0.7172,                 1.2218,             0.00056313,             0.00056313,             0.00056313
                     23,                0.52889,                0.72113,                 1.1943,                0.79054,                0.83581,                0.86803,                0.75846,                0.56222,                0.68013,                 1.2318,             0.00056003,             0.00056003,             0.00056003
                     24,                 0.5235,                0.70451,                 1.1928,                0.85069,                0.81071,                0.88949,                0.77941,                0.55177,                 0.6217,                 1.2083,             0.00055694,             0.00055694,             0.00055694
                     25,                 0.5272,                0.69156,                 1.1947,                 0.7906,                0.82522,                0.87084,                0.76794,                0.58723,                0.74563,                 1.2926,             0.00055384,             0.00055384,             0.00055384
                     26,                0.52398,                0.66601,                 1.1953,                0.92096,                0.81782,                 0.9032,                0.79311,                0.59069,                0.59662,                 1.3161,             0.00055075,             0.00055075,             0.00055075
                     27,                0.52128,                0.64422,                 1.1851,                0.88574,                0.78358,                0.88073,                0.76904,                0.58459,                0.68587,                 1.3477,             0.00054766,             0.00054766,             0.00054766
                     28,                 0.5095,                0.63018,                 1.1769,                0.83539,                0.82391,                0.90013,                0.78608,                0.57071,                0.66038,                 1.2799,             0.00054456,             0.00054456,             0.00054456
                     29,                0.52616,                 0.6353,                  1.197,                 0.8484,                0.84506,                0.90693,                 0.7917,                0.54232,                0.58253,                 1.2201,             0.00054147,             0.00054147,             0.00054147
                     30,                0.49127,                0.59483,                 1.1713,                0.90243,                0.82539,                0.91071,                0.78971,                0.61044,                0.59822,                 1.2712,             0.00053838,             0.00053838,             0.00053838
                     31,                0.50812,                0.62001,                 1.1774,                0.84836,                0.81027,                0.90532,                0.78882,                0.53981,                0.61706,                 1.1668,             0.00053528,             0.00053528,             0.00053528
                     32,                0.50022,                0.59358,                  1.172,                0.88585,                0.82804,                0.90413,                0.80385,                0.51694,                0.60261,                 1.1753,             0.00053219,             0.00053219,             0.00053219
                     33,                0.49857,                0.59717,                 1.1734,                0.90797,                0.80733,                0.90124,                0.79042,                 0.5605,                0.58517,                 1.2043,             0.00052909,             0.00052909,             0.00052909
                     34,                0.49733,                0.58454,                 1.1746,                0.91771,                0.81272,                0.90603,                0.80166,                0.51918,                 0.5764,                 1.1489,               0.000526,               0.000526,               0.000526
                     35,                0.49162,                0.56833,                 1.1596,                0.86962,                0.85921,                0.91613,                 0.8078,                0.54908,                0.56746,                 1.2142,             0.00052291,             0.00052291,             0.00052291
